	batch1_group1	batch1_group2	batch1_group3	batch2_group1	batch2_group2	batch2_group3	batch3_group1	batch3_group2	batch3_group3
A1BG	16.94	0	320	0	0	0	0	0	0
A1BG-AS1	30.14	25.68	465	0	0	0	3.54	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0
A4GALT	96.44	30.9	113.7	63.9	113.7	51.8	42.6	73	0
AAAS	0	0	0	0	14.3	0	0	0	0
AACS	0	0	0	0	0	0	2.64	0	0
AADAC	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0
AADAT	2.18	0	4.25	0	0	0	4.28	0	0
AAED1	0	0	0	0	0	0	0	0	0
AAGAB	0	0	0	0	0	0	0	0	0
AAK1	48.01	36.45	69	41.05	42.23	21.28	39.55	23.05	0
AAMDC	2.28	0	0	0	0	0	0	0	0
AAMP	0	0	0	0	27.27	0	0	0	0
AAR2	23.26	23.09	63.81	45.2	122.1	7.13	51.6	68.57	0
AARD	0	0	0	0	0	10.4	0	0	0
AARS	11.2	9.13	13.1	40	109.63	8.5	16.56	30.9	5.09
AARS2	37.37	28.71	99.2	20.89	48.34	10.25	14.9	18.6	0
AARSD1	0	0	0	0	32.94	0	4.29	0	0
AASDH	28.22	25.33	11.5	91.1	0	15.5	102	0	0
AASDHPPT	0	1.62	0	0	0	0	0	0	0
AASS	15.32	7.71	0	0	0	0	0	0	0
AATBC	0	8.9	0	0	0	0	11.3	0	0
AATF	11.1	5.98	3.9	0	15.7	0	0	0	0
AATK	44.64	24.4	79.4	61.26	278.2	31.17	66.49	127	0
ABAT	72.58	22.7	9.81	0	0	0	0	0	0
ABCA1	20.6	16.9	8.83	0	0	0	0	0	0
ABCA10	5.73	0	0	0	0	0	0	0	0
ABCA11P	15.2	8.65	12.4	0	0	0	26.9	0	0
ABCA13	0	0	0	0	0	5.37	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0
ABCA2	0	0	15.5	0	14.3	0	11.2	0	2.56
ABCA3	8.02	8.06	13.53	0	0	0	11.27	0	0
ABCA5	0	0	0	0	0	0	0	0	0
ABCA7	4.62	5.34	13	82.9	229	6.91	22.9	20.1	0
ABCA9	0	0	0	0	0	6.87	0	0	0
ABCB10	11.6	6.34	0	44.8	0	0	19.5	17.5	0
ABCB4	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	10.28	0	0	0
ABCB6	0	0	0	0	0	0	16.98	0	0
ABCB7	4.47	3.7	0	0	0	0	0	0	0
ABCB8	32.36	12.61	74.5	18.7	45.89	16.4	23.18	20.2	0
ABCB9	10.9	5.57	23.82	0	11.6	0	16.7	0	0
ABCC1	39	29.27	141.01	28.5	92.55	11.63	49.6	69.9	0
ABCC10	11.8	11.8	105.5	12.2	94.6	0	25.5	14.7	0
ABCC2	0	0	0	0	28.81	0	2.43	0	0
ABCC3	0	0	0	9.17	0	0	11.14	0	0
ABCC4	2.62	0	0	0	8.17	0	2.09	0	0
ABCC5	14.18	15.87	16.6	10.5	7.15	0	20.71	0	0
ABCC6	0	0	0	0	0	0	0	0	0
ABCC6P1	8.86	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0
ABCC9	4.25	16	17	0	0	5.59	0	0	0
ABCD1	20.51	4.45	99.1	16.4	162.27	4.81	15.87	43.2	0
ABCD2	26.1	16.92	0	0	0	0	0	0	0
ABCD3	0	0	0	0	0	0	4.91	0	0
ABCD4	5.27	4.48	18.2	0	0	0	8.5	0	0
ABCE1	0	0	0	0	0	0	0	0	0
ABCF1	20.49	17.01	15.14	82.2	130.73	21.1	33.06	43.6	0
ABCF2	18.28	18.28	24.98	51.6	71.38	13.86	17.97	49.3	0
ABCF3	6.76	5.71	0	29.9	42.24	0	12.4	18.2	0
ABCG1	36.26	14.2	0	0	0	12.5	40.35	0	0
ABCG2	0	0	0	0	0	0	3.2	0	0
ABCG4	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0
ABHD10	3.93	2.53	0	0	0	0	9.33	0	0
ABHD11	19.7	12.6	69.93	13.3	9.53	7.63	29	22.2	0
ABHD11-AS1	0	0	0	0	0	0	0	0	0
ABHD12	10.1	5.18	14.9	15.6	30.6	4.06	14.9	43	0
ABHD13	28.9	30.1	10.49	98.87	0	0	175.72	27.1	0
ABHD14A	8.02	4.34	3.88	11.6	16.3	0	14.7	0	0
ABHD14B	0	0	0	0	23.17	0	3.86	0	0
ABHD15	40.8	47.47	360.15	43.6	34.09	2.41	44.3	36.2	0
ABHD16A	0	0	0	0	0	0	0	0	0
ABHD16B	21.64	34.3	107	14.27	41.5	10.4	20.18	23.5	0
ABHD17A	15.1	22.7	61.1	0	47.17	0	27.2	22.8	0
ABHD17B	11.8	14.9	24.46	45.57	0	0	39.86	16.8	0
ABHD17C	24.8	16.82	0	33	22.14	35.4	27.8	27.9	0
ABHD18	6.71	5.79	0	0	0	0	0	0	0
ABHD2	5.08	2.9	3.39	0	0	5	3.61	0	5.36
ABHD3	2.77	1.83	0	0	8.17	0	4.82	0	0
ABHD4	4.89	2.64	0	0	0	0	6.13	0	0
ABHD5	9.53	5.7	4.29	0	0	0	11.31	0	0
ABHD6	12.2	6.6	0	14.37	10.2	0	8.06	0	0
ABHD8	12.78	9.75	102.89	12.2	43.6	0	9.16	18.2	0
ABI1	3.84	4.38	0	0	8.85	0	0	0	0
ABI2	13.84	12.91	9.06	0	0	13.4	47.58	0	0
ABI3	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	0	0	0
ABL1	30.64	28.4	125.19	48.6	169.17	23.12	53.84	100.4	0
ABL2	17.8	19.3	147.43	186.7	88.7	39.09	39.3	91.4	16.6
ABLIM1	6.9	6.72	13.38	6.96	8.17	0	4.61	14.4	3.69
ABLIM2	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0
ABR	11.48	9.99	73.21	19.26	26.53	13.4	11.97	18.1	0
ABRACL	0	0	0	0	0	0	0	0	0
ABT1	10.16	7.25	47.87	8.62	116.94	9.61	17.08	31	0
ABTB1	3.13	0	12.8	0	11.6	0	17	0	0
ABTB2	25.6	18.85	153	10.5	29.59	0	8.08	7.48	0
ACAA1	2.23	1.84	0	0	0	0	0	0	0
ACAA2	2.37	0	0	0	0	0	4.63	0	0
ACACA	17	13.36	49.9	26.92	44.56	4.03	23.62	18.5	0
ACACB	10.1	12.2	132	0	0	16.8	19.8	0	0
ACAD10	10.25	0	18.6	0	0	0	6.54	0	0
ACAD11	5.85	5.01	7.3	0	0	4.32	7.56	0	0
ACAD8	10.81	10.15	19.16	0	10.9	0	20.6	0	0
ACAD9	9.37	6.52	22.01	3.03	34.05	0	21.23	39.2	0
ACADL	10.7	0	0	0	0	0	0	0	0
ACADM	3.5	0	0	0	0	0	9.07	0	0
ACADS	4.97	5.71	45.6	0	15	0	14.4	0	0
ACADSB	18.52	20.95	4.15	0	0	19.92	17.6	10.9	0
ACADVL	4.83	4.07	6.53	3.36	121.42	0	6.19	20.2	0
ACAN	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0
ACAP2	0	0	0	0	12.9	4.53	0	0	0
ACAP3	0	2.31	0	0	5.45	0	2.17	0	13.8
ACAT1	0	0	0	0	0	0	5.33	0	0
ACAT2	0	0	0	0	12.9	0	4.11	0	0
ACBD3	11.98	9.54	20.9	24.9	4.43	8.34	13.97	25.85	0
ACBD4	0	0	0	0	0	0	12.5	0	0
ACBD5	0	0	0	0	10.9	4.94	0	0	0
ACBD6	6.21	3.05	22.6	0	74.2	0	9.63	10.2	0
ACBD7	1.93	7.13	0	0	0	54.37	0	0	0
