	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
A1BG	16.94	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3	54.98	30.11	0	0	33.9	0	4.04	0	22.58	10.41	0	8.51	10.15	15.4	268.4	206.7
A1BG-AS1	30.14	25.68	465	0	0	0	3.54	0	0	45.6	16.95	0	13.63	17.4	12.1	38.8	7.82	30.5	27.82	163.1	83.7	110.58	90.3	63.89	57.9	0	11.68	0	21.26	34.68	10.68	11.25	22.29	24.3	51.16	68.95
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	96.44	30.9	113.7	63.9	113.7	51.8	42.6	73	0	21.4	0	24.95	10.2	57.55	66.64	79.19	68.1	94.4	31.4	46.9	42.3	39.9	42.5	46.6	32.7	33.5	62.3	0	0	0	0	0	0	21.3	94.92	141.3
AAAS	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0	0	4.47	4.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	2.64	0	0	0	0	0	0	3.87	0	0	0	0	0	2.39	2.15	8.17	2.49	2.45	3.74	0	2.59	0	0	0	0	0	0	0	18	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9	0	0	22.6	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9	3.82	4.46	6.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	2.18	0	4.25	0	0	0	4.28	0	0	3.06	0	0	0	0	13.3	0	0	0	7.37	0	0	15.9	0	0	8.34	0	0	0	0	6.42	0	5.75	0	0	51.9	288
AAED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.9	43.9
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	11.5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0	0	0	0	0
AAK1	48.01	36.45	69	41.05	42.23	21.28	39.55	23.05	0	28.32	24.54	54.16	34.47	56.8	20.58	15.6	44.72	31.81	30.14	83.3	51.68	33.3	41.31	60.17	31.9	0	0	3.18	12.42	10.83	12.52	11.39	10.37	12.59	18	12.8
AAMDC	2.28	0	0	0	0	0	0	0	0	0	0	0	2.92	0	0	13.2	14.4	0	0	4.06	6.04	0	6.29	3.44	0	0	0	0	4.96	4.66	0	4.86	0	0	0	0
AAMP	0	0	0	0	27.27	0	0	0	0	0	0	0	0	0	1.96	5.37	3.8	0	3.09	0	0	0	0	0	0	7.07	7.77	1.46	1.72	1.83	1.49	1.53	4.6	3.71	7.31	7.84
AAR2	23.26	23.09	63.81	45.2	122.1	7.13	51.6	68.57	0	20.81	48.52	29.93	66.22	29	24.12	19.22	6.78	29.52	28.6	48.17	42.1	40.47	56.39	37.18	50.59	12.23	19.82	9.97	14.93	12.09	15.97	13.08	11.86	10.31	13.86	20.45
AARD	0	0	0	0	0	10.4	0	0	0	0	0	0	0	14.5	0	0	0	0	0	0	14.14	0	0	17.3	16.2	0	0	0	0	13.8	0	0	0	0	95	62.9
AARS	11.2	9.13	13.1	40	109.63	8.5	16.56	30.9	5.09	4.89	14.45	29.91	11.7	9.75	5.8	17.54	16.5	15.02	12.73	9.32	11.51	9.7	13.31	14.42	7.33	15.96	20.38	11.93	8.61	7.72	7.8	9.41	8.27	8.49	2.87	5.5
AARS2	37.37	28.71	99.2	20.89	48.34	10.25	14.9	18.6	0	20.86	21.08	24.45	42.4	39.47	24.07	12.53	20.8	45.93	18.86	25.2	37.5	25.17	26.35	25.98	27.1	11.5	17.07	7.55	14.73	9.14	12.05	15.21	14.95	16.19	30.85	35.62
AARSD1	0	0	0	0	32.94	0	4.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84	15.18	0	0	3.76	7.94	10.37	4.52	5.34	0	8.39
AASDH	28.22	25.33	11.5	91.1	0	15.5	102	0	0	19.78	4.86	30.34	16.8	12.49	42.7	27.9	0	62.4	24.9	9.82	8.78	0	2.98	5.93	0	0	0	0	0	8.25	0	5.29	0	3.58	0	0
AASDHPPT	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	15.32	7.71	0	0	0	0	0	0	0	27.26	13.44	32.72	0	27.22	32.26	0	0	0	0	9.52	8.44	2.74	19.45	7.48	8.65	0	0	0	0	0	0	12.5	0	0	5.52	4.48
AATBC	0	8.9	0	0	0	0	11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	43.9	0	16.4	12	0	0	0	0	0	0	0	0	0	0	0	25.39
AATF	11.1	5.98	3.9	0	15.7	0	0	0	0	6.88	6.05	14.98	11.9	7.23	11.74	7.96	10.16	5.48	7.23	1.97	3.15	8.23	4.94	5.25	10.55	6.58	23.78	6.14	4.63	5.95	4.67	4.25	6.59	5.36	21.6	18.6
AATK	44.64	24.4	79.4	61.26	278.2	31.17	66.49	127	0	16.2	0	0	0	45.94	0	0	0	0	14.4	149	85.56	116.8	93.33	109.63	89.89	0	0	0	17.7	19.3	38.4	27.47	13.4	50.9	172.94	131.21
ABAT	72.58	22.7	9.81	0	0	0	0	0	0	0	30.2	26.2	52.96	64.38	43.44	0	0	0	31.5	17.73	31.32	37.61	22.3	29.63	29.14	0	0	0	41.82	38.6	6.86	14.53	8.43	15.86	57.76	59.89
ABCA1	20.6	16.9	8.83	0	0	0	0	0	0	0	5.94	22.2	12.3	15.8	13.6	0	0	27.8	24.57	0	0	0	0	0	0	0	0	0	5.91	0	7.45	5.28	0	0	0	0
ABCA10	5.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	15.2	8.65	12.4	0	0	0	26.9	0	0	46.8	11.6	20.13	29.1	32.5	39.13	0	20.4	16.6	12.6	6.21	4.61	0	7.39	5.84	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.9	50.4	0	0	53.3	0	0	0	0	0	13.8	0	0	0	0	41.34	40.3
ABCA2	0	0	15.5	0	14.3	0	11.2	0	2.56	0	0	0	0	0	0	2.6	0	24.6	7.79	4.38	6.34	4.42	3.05	3.24	6.94	4.43	9.99	0	4.11	16.96	3.54	2.46	9.13	6.9	129.81	97.64
ABCA3	8.02	8.06	13.53	0	0	0	11.27	0	0	12.41	0	3.28	0	28.6	4.84	13.19	11.14	8.15	10.26	13.5	16.95	11.7	8.53	15.1	6.87	3.27	8.17	4.79	0	4.22	0	0	0	0	81.39	110.83
ABCA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89	8.54
