	p009_MOUSE_Brain_adult	p009_MOUSE_Brain_e17	p009_MOUSE_shGFP	p009_MOUSE_shHRNPDL_3	p009_MOUSE_shHRNPDL_4	p009_MOUSE_shRFP	p021_ESC	p021_NSC	p021_SC	p021_iPSC	p022_EBs_BR1	p022_EBs_BR2	p022_EBs_BR3	p022_ESCs_BR1	p022_ESCs_BR2	p022_ESCs_BR3	p022_MEFs_BR1	p001_BRAIN_S1_SYSY	p001_BRAIN_S2_NEB	p001_BRAIN_S2_SYSY	p005_neural_WT	p005_neural_WT	p011_D-2	p011_D0	p011_D10	p011_D2	p011_D5	p011_siCtrl-BR1	p011_siCtrl-BR2	p011_siFTO-BR1	p011_siFTO-BR2	p027_HS	p027_NM	p010_mESC_WT	p010_mESC_WT_BR1	p010_mESC_WT_BR2
0610005C13Rik	0	0	0	0	0	0	0	0	0	3.74	0	0	0	0	0	0	0	0	19.1	0	0	0.364226117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	9.34	37.8	2.54	0	0	0	0	1.72	0	0	5.24	0	0	21.6	0	0	5.19	0	0	0	3.16	3.941782284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	330	679	17.62	24.71	25.2	28.4	4.43	5.86	0	4.97	71.16	35.7	59.1	50.1	65.5	32.7	78.9	37.3	27.5	31.1	38.4	38.94914289	0	0	0	0	3.06	3.48	5.21	19.68	17	0	0	17.23	23.3	18.73
0610009L18Rik	11.7	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	4.092035889	0	16.9	28.3	47.4	12.5	0	0	0	0	0	0	0	0	0
0610009O20Rik	91.65	213	7.43	5.13	5.99	20.82	8.82	2.31	2.61	3.41	16.2	21.78	13	24.7	15	22.9	54.3	12.1	13.4	13.9	9.1	9.136193889	0	3.32	19.33	19.51	18.83	2.94	0	3.92	0	0	0	7.08	4.65	5.19
0610010F05Rik	0	9.79	0	0	0	0	0	0	0	0	0	0	0	5.29	0	0	0	0	0	0	1.98	2.706320219	0	0	0	0	0	0	0	2.18	0	0	0	0	0	0
0610010K14Rik	28.6	76.3	6.14	3.66	3.57	4.39	9.61	10.9	6.99	9.92	21.84	48.83	6.05	121.8	78.9	45.7	33.13	10.2	40.2	38.59	20.77	21.24077157	0	24.7	17.76	27.3	7.58	15.91	26.1	0	0	0	0	5.81	6.14	8.1
0610012G03Rik	114	392	20.58	8.41	52.18	10.6	6.28	1.97	2.47	2.23	63.23	48.04	32.63	30.5	29.8	54.23	27.1	33.2	33	28.7	13.5	13.51254608	0	17.7	32.2	19.7	28.7	14.51	17.28	2.85	0	0	0	13.54	12	16.25
0610030E20Rik	133	172.2	22.05	15	11.73	36.24	5.24	1.45	2.95	15.37	44.5	1.64	3.05	9.52	0	40.3	61.7	59.34	83.89	66.65	26.08	26.11132258	11.4	44.6	16.73	12.7	17.68	20.63	29.43	24.44	108.05	0	0	16.25	13.12	13.17
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2	17.7	0	0	0.301673307	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	214.7	248.8	5.99	42.77	22.69	4.46	5.56	8.34	0	5.52	45.8	32.4	11.3	86.07	12.9	11.6	41.5	37.7	30.14	12.5	18.66	18.76068165	0	0	12	74.2	4.74	0	3.33	2.26	0	0	0	25.81	7.87	6.07
0610038B21Rik	0	0	0	0	0	0	0	0	0	0	8.51	13.4	0	22.2	0	0	14.26	0	0	0	0	0.644264866	0	13.6	18.6	4.69	17.6	16.7	4.88	3.46	6.05	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1	0	0	0.410330647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	21	17.5	0	0	0	0	0	0	0	0	13.6	15.5	7.72	19.7	69.2	19.6	10.3	0	23.2	0	0	0.358331644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040B10Rik	24.5	37.8	10.2	0	11.8	0	0	0	0	0	0	0	0	0	0	0	5.35	20.4	23.2	21.8	29.6	30.13639706	0	0	0	0	0	3.35	3.3	0	0	0	0	7.18	23.4	0
0610040F04Rik	18.7	22.4	2.53	0	0	0	1.53	2.24	0	1.88	21.29	64.45	2.55	12.69	0	13.1	3.08	4.07	28.7	12.8	0	0.345081663	0	0	0	0	0	0	0	0	0	0	0	5.9	23.4	13.63
0610040J01Rik	57.2	39.2	0	0	0	0	4.6	0	0	5.1	23.6	0	0	50.8	0	0	0	48.9	66.8	41.6	106	106.2706961	0	0	0	0	0	0	0	0	0	0	0	9.36	23.4	37.2
0610043K17Rik	99.3	15.4	0	0	0	0	0	0	0	9.74	0	0	0	0	0	22.9	0	14.8	36.1	19.2	33.3	33.83917305	0	0	0	0	0	0	0	0	0	0	0	8.32	36.4	37.2
